x,y,z
-75423.3756750171,-36511.62063939642,6920.342265731971
-25949.93790176831,-62759.67431290407,8238.110800392149
-108598.1761284279,-23232.77994597793,14008.556640625
-135506.6138078136,-53007.92326570727,6440.94873046875
-28922.15084983887,-102445.3180363477,8962.781307898193
-105277.3462311192,-15374.35238598043,33684.90346897136
-136129.1370745862,-36337.38786518988,6440.94873046875
-158162.3842530007,-65563.05683884362,19780.97000925092
-4599.347221438843,-67807.28730187609,1777.755493164063
-126030.8086340464,23913.32123341207,6440.94873046875
-90908.19251154653,27724.88741751295,6302.079667467493
-119508.0850665597,21289.5908825937,6440.94873046875
-12175.6978064706,-93340.06987166902,6062.495599855567
-12360.05721437002,-43457.47144540172,1777.755493164063
-116354.4479639172,-5205.118420572444,7784.240612476312
-134550.8163725847,-62851.55752273522,12842.58203292263
-120208.0093147675,-56307.29905662752,32328.75703686189
-138894.213670396,-66214.2738884687,35104.33219182205
-116198.0305574079,-1274.895905773994,22031.92231615214
-27587.06886274801,-66328.45562370386,8327.982754522343
-112729.0457081021,-83320.42325595664,9127.66796875
-113892.777938644,-97632.08700080702,6130.278120251376
-23051.02613614454,-32033.83026825484,7337.212570581614
-81165.23066096258,-32117.84693561864,6916.249166899757
-145250.8821758238,-82135.46897253444,20007.07331431371
-91781.30177340398,-52599.61909328229,26983.25128560494
-127672.2757853361,-60517.13938238397,18464.33526045908
-74669.32942112874,-51234.1571366271,7301.29463290017
-120301.1443136026,-61687.76945616749,26250.87713108174
-143558.2017363717,-111640.9535984858,7654.833012096855
-112835.5174430168,-14704.47385308084,48838.98828125
-102402.781748131,-46266.00804605564,31697.04264173059
-143514.6610935805,-30390.28662369543,6440.94873046875
-163183.4319369826,-28692.82158076636,25841.47323460921
-77780.63434423588,-125308.8889927061,1777.755493164063
-99399.98209998819,-26825.78887017945,40923.7303782855
-113914.4386071097,-18346.60466888308,38625.8439614259
-92077.25892269425,-63593.67162524343,23216.09471888528
-138988.1109655229,-29242.66506661767,24616.74205979941
-43501.09460305289,4072.524505444153,6442.157601135954
-110632.2591143834,18197.09580176168,6402.657793354601
-35454.53583962912,-86289.3852228594,1777.755493164063
-41005.07257053289,-93295.68386209842,8935.467865772444
-128795.8307106165,-24268.79390397897,39480.36186829455
-33662.04039394985,-110808.0910806832,1777.755493164063
-113952.9823965226,-96830.00153666074,6131.094340925179
-106213.3069463498,14047.9482191909,6347.305590709354
-102309.6023840935,-2253.951782336646,21623.80157860804
-116291.4534895536,-16485.60020452115,28365.95491658956
-57521.54957078699,-122337.4413324101,1777.755493164063
-173005.2475597951,-8447.455499893487,43167.04543589442
-159425.4455998664,-44377.5058265896,28854.39408864299
-103447.3121343026,-17123.14315949702,32293.68813592243
-31719.23604844241,-62211.47473631927,8239.333552671029
-143072.492670318,-57667.77124468221,12701.9321141129
-170033.7169418541,-75614.66246672851,22116.67684874613
-61412.51915582726,-49810.51972721894,7342.182890800873
-121655.4495416464,9974.302103153692,36077.32195166335
-102573.909954666,-28913.76942381733,24717.29216241435
-47448.5010127093,-34434.00023635478,7352.815292456799
-126829.813702752,-42011.59726186634,16294.7794523234
-45498.96443451072,-88139.8943617498,7021.42723926521
-95994.4854044496,-69175.78187407322,7445.38623046875
-118150.0412614472,-67934.19643724208,10326.57446737232
-91248.69101207955,-19083.98784867274,6564.022132506547
-127409.2433452438,-98509.08877288905,6851.595396383915
-137502.4877586507,-51642.4314811952,6440.94873046875
-134950.0867105717,-18492.90300766726,49846.3515625
-106220.612536503,-104591.3316444404,2381.440327583649
-116677.908267912,-38047.63480924942,23964.49897214965
-49912.27667475481,49922.02571472641,6296.734931999657
-13385.24268516142,-61664.53452880708,1777.755493164063
-123824.9058272346,-38001.52659290802,25957.60585116726
-106444.8456350787,-114574.8316132612,1777.755493164063
-162927.2684484125,-29163.75442842805,32704.95054200028
-128252.4361091666,-80935.35043075342,13770.0751668263
-19352.79342512056,-52394.99856505185,1777.755493164063
-110673.0942165883,-73758.14339228071,22788.6682339875
-103556.0928340551,315.4002617622002,10501.32655071353
-52210.62361291845,-29181.08755606611,7116.943970742645
-69832.05951411188,-63578.70257090448,6758.289195196098
-139746.4756709408,-49867.84239677306,6440.94873046875
-30858.52496386573,-54074.67852728823,8058.048560534337
-130623.9241519781,-6606.154658331159,6440.94873046875
-133211.3097311626,-9254.41774048968,6440.948730468751
-95288.66958170405,-65376.35805040073,22202.705078125
-151217.5360510546,-80580.82071391135,23176.17327956419
-77355.3539256137,-48641.15136331848,7770.537892776283
-13745.50636628667,-39033.4067366764,1777.755493164063
