x,y,z
-19698.56974230023,-106099.851963507,9025.287696285877
-91732.74740620496,-27713.5479663957,10116.57302105233
-86276.75436897542,-51090.61869731098,22411.14989682785
-47139.55225845441,-89155.11423903045,1777.755493164063
-55502.21371124702,-30164.82768621958,7086.293927354354
-166163.276667322,-22550.57127344766,26645.70567727038
-85974.03040723575,11222.39939847651,6257.881433730579
-95471.02564244696,-67025.25256173631,20506.80334777818
-161418.0421081022,-78067.53340278241,18362.017578125
-160093.5957298775,-63799.37640190005,20856.33208695015
-55031.8841493955,2411.807770813593,6453.002767279545
-72008.97005997341,-116572.3370476811,1777.755493164063
-99271.12964821036,-62728.73704820042,26261.44968537409
-57311.83193389727,-115928.5651997078,1777.755493164063
-67334.54556581596,23846.61744038656,6353.889123572023
-178955.5908090016,-74565.04214374817,28876.48911803066
-6009.580806426432,-87666.38523443602,6342.813220513345
-95368.28200585058,-28810.33173031712,10376.90553564741
-133234.7342040514,6168.514377488566,6440.94873046875
-62905.00481570952,-28583.08186768906,6947.297722993477
-139697.297293917,-23673.81214321758,49846.35156250001
-111103.5527317466,-100390.1803247247,6130.602979049691
-116097.1934417939,13814.63016048923,23671.8599586721
-104027.3150963975,-23043.90991910754,41551.12598710577
-124414.6378732591,-76008.27127502686,6345.995037941457
-37195.17059487607,-69613.08858830151,1777.755493164063
-61286.98590674548,49607.79328782589,6373.020763786946
-151441.9791032084,-33538.49093523189,14626.2445696951
-142574.998310688,-454.7350849534444,6440.94873046875
-14532.04561406565,-54399.64203376329,1777.755493164063
-113653.4705417203,-43715.17645328515,30116.40564111864
-47083.93401069495,-3953.600627745396,6593.6037169224
-32041.05705800716,-86755.29263567094,7490.881178756154
-127133.221532691,-39361.40066877796,21130.83961350378
-155665.7971843762,-102461.0154771478,12207.69758430112
-83761.30509467362,6328.059588200152,6264.883372949797
-48716.47670172302,42896.61127194885,6264.204393139297
-118435.1822303553,3336.480608732479,23806.68771656383
-24957.66767053263,-67436.84046355423,5879.607579888423
-91271.55184174397,-99223.51678526534,1777.755493164063
-114210.7560607875,-71002.58418993741,15127.60986365859
-128859.612709652,-25404.84013829386,37345.56177021851
-101847.6969359021,14162.10060710879,6350.050129549244
-127423.6585062893,-69856.9551885722,19132.33636778817
-15394.33551050471,-53324.32412960079,7683.389402135543
-124703.1924121555,-96587.33474179119,6255.836597846994
-110728.7779880573,10311.88444932837,46072.01343157019
-123213.6760757383,-103350.9460365037,6088.449840335766
-90587.16986610915,-23238.8113730297,6652.087423297192
-8364.204799457764,-68346.92319699985,1777.755493164063
-122209.4087933739,-8045.589473821847,29673.41717958431
-86986.71192415671,-32636.00186104234,19668.87058308061
-16265.43674997045,-69508.51854230862,1777.755493164063
-30839.08569857339,-109646.9137049423,5367.228927332068
-38887.24335439983,-68067.88163264976,1777.755493164063
-113366.6308471457,-22912.31803409599,17403.32992388709
-120289.7816875324,-7114.302996828553,27649.10401949092
-193066.1657771434,-70659.55559387598,19961.84157028524
-51189.19751087847,-39676.03239793623,7415.108456881317
-177575.4437963044,972.9310657974885,19379.40559676866
-148973.118573669,-32340.75242778267,19771.33287014294
-116811.9734582203,-19676.29070296844,6440.94873046875
-76797.53881526957,42486.81189516649,6435.595803246186
-95753.19364612433,-26886.75506564682,6700.930953185488
-158705.9553040543,-70946.23981599047,19126.24437993352
-105754.5166989559,-14195.65679282338,39585.11925580217
-37642.92489435556,-45770.28948191305,7834.332714496759
-43885.88718126893,-66258.69027234826,1965.052381768137
-109782.0567280566,-30701.87676520381,14008.556640625
-101929.3133651473,-18838.9962670863,28431.22683973331
-152998.4909214151,-48025.35181217836,29915.84666743927
-32291.34052925892,-20253.22257712754,7030.895359550356
-151548.7830868569,-48763.71736614624,11853.31680658758
-25954.54189252891,-34461.3193037762,7414.461576316156
-98342.55955956728,-26232.24106677975,27410.61197288224
-178849.7036065221,-48889.6751295518,19070.14091518142
-95714.84654014732,-63268.24621584849,24264.896484375
-146669.0471053038,-63919.59272131341,24718.85231317016
-126832.8755883709,-97586.32625718509,7764.807910889429
-142975.8181284583,-57489.55432457042,21030.75452846781
-43705.08594953548,-35661.91453003978,7475.563314488694
-103070.5570242514,-72747.33235459315,10148.93929450531
-130507.9830430132,-68452.42904486776,21899.27579956647
-99200.13137821174,-8663.390676260513,6702.127164476197
-108529.7706045224,-25462.12423161852,46391.36328125
-92915.41340116032,36595.37531426093,6366.34514452576
-123422.5640087586,-72973.485552357,13112.61327977542
-130927.491804721,-92288.30786299818,6332.099388575489
-111197.3566849805,-85981.34328276216,7094.538957743802
-102256.8212103001,-71037.90341370502,22202.705078125
-87323.63937044112,-45478.63959174587,23766.06329537527
-81682.46089396032,-57551.99266080273,19244.34375
